Text,AI_Model,Generation_Parameters
Evaluating AI-generated text helps in detecting misinformation. (Generated by Mistral-7B),Mistral-7B,"Temperature: 1.0546265601698321, Max Tokens: 121"
AI has significantly improved natural language processing tasks. (Generated by LLaMA-3),LLaMA-3,"Temperature: 0.7869139800252978, Max Tokens: 87"
Recent advancements in AI have enabled more human-like responses. (Generated by Mistral-7B),Mistral-7B,"Temperature: 1.147563980362139, Max Tokens: 459"
Understanding AI-generated content is crucial in digital forensics. (Generated by LLaMA-3),LLaMA-3,"Temperature: 0.7679788341862186, Max Tokens: 359"
Large language models generate coherent and context-aware responses. (Generated by LLaMA-3),LLaMA-3,"Temperature: 0.972549236961116, Max Tokens: 441"
This is an AI-generated sample text discussing machine learning. (Generated by Claude-3),Claude-3,"Temperature: 1.1166873281458545, Max Tokens: 192"
"Neural networks continue to evolve, enhancing AI capabilities. (Generated by PaLM-2)",PaLM-2,"Temperature: 0.7009973106200653, Max Tokens: 295"
AI has significantly improved natural language processing tasks. (Generated by Mistral-7B),Mistral-7B,"Temperature: 0.9887918140969197, Max Tokens: 177"
Recent advancements in AI have enabled more human-like responses. (Generated by PaLM-2),PaLM-2,"Temperature: 0.5816138841264545, Max Tokens: 346"
AI-generated text is widely used in chatbots and automation. (Generated by Mistral-7B),Mistral-7B,"Temperature: 1.1228638439228185, Max Tokens: 204"
Large language models generate coherent and context-aware responses. (Generated by Gemini-1.5),Gemini-1.5,"Temperature: 0.5089337403206672, Max Tokens: 350"
AI has significantly improved natural language processing tasks. (Generated by Claude-3),Claude-3,"Temperature: 1.175212202935996, Max Tokens: 417"
Generative models like GPT have transformed text-based applications. (Generated by PaLM-2),PaLM-2,"Temperature: 0.7266264932613287, Max Tokens: 382"
This is an AI-generated sample text discussing machine learning. (Generated by Mistral-7B),Mistral-7B,"Temperature: 0.7426431993581992, Max Tokens: 149"
This is an AI-generated sample text discussing machine learning. (Generated by LLaMA-3),LLaMA-3,"Temperature: 0.7923840076844809, Max Tokens: 142"
Future AI developments will improve text generation accuracy. (Generated by PaLM-2),PaLM-2,"Temperature: 0.5120943482606787, Max Tokens: 441"
Future AI developments will improve text generation accuracy. (Generated by LLaMA-3),LLaMA-3,"Temperature: 0.6799003095092796, Max Tokens: 275"
This is an AI-generated sample text discussing machine learning. (Generated by Claude-3),Claude-3,"Temperature: 0.5028676954095729, Max Tokens: 353"
Generative models like GPT have transformed text-based applications. (Generated by GPT-4),GPT-4,"Temperature: 0.8684921057862836, Max Tokens: 201"
AI has significantly improved natural language processing tasks. (Generated by PaLM-2),PaLM-2,"Temperature: 0.7078909775156297, Max Tokens: 354"
Recent advancements in AI have enabled more human-like responses. (Generated by PaLM-2),PaLM-2,"Temperature: 0.9585933437563167, Max Tokens: 133"
Recent advancements in AI have enabled more human-like responses. (Generated by GPT-4),GPT-4,"Temperature: 1.0716302788150738, Max Tokens: 132"
Recent advancements in AI have enabled more human-like responses. (Generated by LLaMA-3),LLaMA-3,"Temperature: 0.6855518111011274, Max Tokens: 471"
Understanding AI-generated content is crucial in digital forensics. (Generated by Mistral-7B),Mistral-7B,"Temperature: 1.1343446008447513, Max Tokens: 374"
AI-generated text is widely used in chatbots and automation. (Generated by Mistral-7B),Mistral-7B,"Temperature: 0.7556468106549349, Max Tokens: 193"
Evaluating AI-generated text helps in detecting misinformation. (Generated by Gemini-1.5),Gemini-1.5,"Temperature: 0.5070360030500578, Max Tokens: 96"
Future AI developments will improve text generation accuracy. (Generated by Mistral-7B),Mistral-7B,"Temperature: 0.6663226481447099, Max Tokens: 396"
Understanding AI-generated content is crucial in digital forensics. (Generated by Claude-3),Claude-3,"Temperature: 0.7369888808795336, Max Tokens: 424"
This is an AI-generated sample text discussing machine learning. (Generated by Claude-3),Claude-3,"Temperature: 0.7484185613895706, Max Tokens: 78"
This is an AI-generated sample text discussing machine learning. (Generated by PaLM-2),PaLM-2,"Temperature: 0.5478727078610207, Max Tokens: 246"
This is an AI-generated sample text discussing machine learning. (Generated by LLaMA-3),LLaMA-3,"Temperature: 1.1501122494068787, Max Tokens: 248"
Recent advancements in AI have enabled more human-like responses. (Generated by Gemini-1.5),Gemini-1.5,"Temperature: 1.07453034219576, Max Tokens: 299"
AI has significantly improved natural language processing tasks. (Generated by PaLM-2),PaLM-2,"Temperature: 0.8433395746582721, Max Tokens: 337"
Large language models generate coherent and context-aware responses. (Generated by Gemini-1.5),Gemini-1.5,"Temperature: 0.5518188166695773, Max Tokens: 315"
Recent advancements in AI have enabled more human-like responses. (Generated by Mistral-7B),Mistral-7B,"Temperature: 0.7438094132418132, Max Tokens: 301"
Understanding AI-generated content is crucial in digital forensics. (Generated by Mistral-7B),Mistral-7B,"Temperature: 0.8425010948801467, Max Tokens: 458"
Recent advancements in AI have enabled more human-like responses. (Generated by LLaMA-3),LLaMA-3,"Temperature: 0.5447047895122711, Max Tokens: 389"
This is an AI-generated sample text discussing machine learning. (Generated by PaLM-2),PaLM-2,"Temperature: 0.9120943646522288, Max Tokens: 194"
Evaluating AI-generated text helps in detecting misinformation. (Generated by Mistral-7B),Mistral-7B,"Temperature: 1.0510250694557746, Max Tokens: 228"
Evaluating AI-generated text helps in detecting misinformation. (Generated by Gemini-1.5),Gemini-1.5,"Temperature: 0.8919660377518801, Max Tokens: 223"
Recent advancements in AI have enabled more human-like responses. (Generated by PaLM-2),PaLM-2,"Temperature: 0.5084084504133854, Max Tokens: 444"
This is an AI-generated sample text discussing machine learning. (Generated by Mistral-7B),Mistral-7B,"Temperature: 1.0027687849529523, Max Tokens: 274"
"Neural networks continue to evolve, enhancing AI capabilities. (Generated by PaLM-2)",PaLM-2,"Temperature: 1.131555047079027, Max Tokens: 250"
Future AI developments will improve text generation accuracy. (Generated by Mistral-7B),Mistral-7B,"Temperature: 1.06485916262938, Max Tokens: 498"
Generative models like GPT have transformed text-based applications. (Generated by Gemini-1.5),Gemini-1.5,"Temperature: 0.6339209510416184, Max Tokens: 408"
Generative models like GPT have transformed text-based applications. (Generated by PaLM-2),PaLM-2,"Temperature: 1.1595866138982416, Max Tokens: 76"
This is an AI-generated sample text discussing machine learning. (Generated by Mistral-7B),Mistral-7B,"Temperature: 1.1491123080129042, Max Tokens: 175"
This is an AI-generated sample text discussing machine learning. (Generated by Mistral-7B),Mistral-7B,"Temperature: 0.5919225123693049, Max Tokens: 363"
AI-generated text is widely used in chatbots and automation. (Generated by Gemini-1.5),Gemini-1.5,"Temperature: 1.0005188355264227, Max Tokens: 120"
This is an AI-generated sample text discussing machine learning. (Generated by Gemini-1.5),Gemini-1.5,"Temperature: 0.6826907795610916, Max Tokens: 397"
This is an AI-generated sample text discussing machine learning. (Generated by GPT-4),GPT-4,"Temperature: 0.5606280949295214, Max Tokens: 315"
Understanding AI-generated content is crucial in digital forensics. (Generated by GPT-4),GPT-4,"Temperature: 0.6747844368449837, Max Tokens: 249"
"Neural networks continue to evolve, enhancing AI capabilities. (Generated by Claude-3)",Claude-3,"Temperature: 0.7751474751662286, Max Tokens: 200"
AI has significantly improved natural language processing tasks. (Generated by Mistral-7B),Mistral-7B,"Temperature: 0.5506885369202665, Max Tokens: 126"
Future AI developments will improve text generation accuracy. (Generated by GPT-4),GPT-4,"Temperature: 0.8972337501633436, Max Tokens: 250"
AI has significantly improved natural language processing tasks. (Generated by Gemini-1.5),Gemini-1.5,"Temperature: 1.1049687289457428, Max Tokens: 258"
AI-generated text is widely used in chatbots and automation. (Generated by LLaMA-3),LLaMA-3,"Temperature: 0.6485271778022969, Max Tokens: 167"
Future AI developments will improve text generation accuracy. (Generated by PaLM-2),PaLM-2,"Temperature: 0.8074355451479724, Max Tokens: 111"
AI-generated text is widely used in chatbots and automation. (Generated by PaLM-2),PaLM-2,"Temperature: 0.665382758983031, Max Tokens: 275"
Understanding AI-generated content is crucial in digital forensics. (Generated by GPT-4),GPT-4,"Temperature: 0.5372617671141963, Max Tokens: 404"
This is an AI-generated sample text discussing machine learning. (Generated by GPT-4),GPT-4,"Temperature: 0.9263591602111743, Max Tokens: 413"
Understanding AI-generated content is crucial in digital forensics. (Generated by Claude-3),Claude-3,"Temperature: 1.1605416054631714, Max Tokens: 392"
This is an AI-generated sample text discussing machine learning. (Generated by LLaMA-3),LLaMA-3,"Temperature: 1.166810504605122, Max Tokens: 375"
Recent advancements in AI have enabled more human-like responses. (Generated by LLaMA-3),LLaMA-3,"Temperature: 0.7819677312331237, Max Tokens: 425"
Large language models generate coherent and context-aware responses. (Generated by Mistral-7B),Mistral-7B,"Temperature: 1.161378937435795, Max Tokens: 234"
"Neural networks continue to evolve, enhancing AI capabilities. (Generated by GPT-4)",GPT-4,"Temperature: 0.8525408150071314, Max Tokens: 390"
This is an AI-generated sample text discussing machine learning. (Generated by GPT-4),GPT-4,"Temperature: 0.5379475773890252, Max Tokens: 176"
Large language models generate coherent and context-aware responses. (Generated by LLaMA-3),LLaMA-3,"Temperature: 0.9882517345911226, Max Tokens: 58"
Evaluating AI-generated text helps in detecting misinformation. (Generated by LLaMA-3),LLaMA-3,"Temperature: 0.7654645434379409, Max Tokens: 481"
"Neural networks continue to evolve, enhancing AI capabilities. (Generated by PaLM-2)",PaLM-2,"Temperature: 1.0946093606044904, Max Tokens: 461"
Large language models generate coherent and context-aware responses. (Generated by LLaMA-3),LLaMA-3,"Temperature: 0.5908407748860387, Max Tokens: 414"
Recent advancements in AI have enabled more human-like responses. (Generated by Mistral-7B),Mistral-7B,"Temperature: 0.7306598792179609, Max Tokens: 246"
Future AI developments will improve text generation accuracy. (Generated by Mistral-7B),Mistral-7B,"Temperature: 0.6886572983185023, Max Tokens: 199"
"Neural networks continue to evolve, enhancing AI capabilities. (Generated by LLaMA-3)",LLaMA-3,"Temperature: 1.1063927451486375, Max Tokens: 371"
Large language models generate coherent and context-aware responses. (Generated by LLaMA-3),LLaMA-3,"Temperature: 0.7567906180884538, Max Tokens: 69"
Generative models like GPT have transformed text-based applications. (Generated by Claude-3),Claude-3,"Temperature: 0.5196439967537174, Max Tokens: 314"
Future AI developments will improve text generation accuracy. (Generated by GPT-4),GPT-4,"Temperature: 1.163414259889147, Max Tokens: 434"
Generative models like GPT have transformed text-based applications. (Generated by Gemini-1.5),Gemini-1.5,"Temperature: 0.8338043667088193, Max Tokens: 160"
Recent advancements in AI have enabled more human-like responses. (Generated by PaLM-2),PaLM-2,"Temperature: 0.7370255272654467, Max Tokens: 123"
Understanding AI-generated content is crucial in digital forensics. (Generated by Gemini-1.5),Gemini-1.5,"Temperature: 0.5141668326495306, Max Tokens: 380"
"Neural networks continue to evolve, enhancing AI capabilities. (Generated by GPT-4)",GPT-4,"Temperature: 0.9538745003544834, Max Tokens: 366"
Evaluating AI-generated text helps in detecting misinformation. (Generated by Mistral-7B),Mistral-7B,"Temperature: 0.5495725548961146, Max Tokens: 99"
This is an AI-generated sample text discussing machine learning. (Generated by PaLM-2),PaLM-2,"Temperature: 1.160870158768791, Max Tokens: 58"
AI has significantly improved natural language processing tasks. (Generated by Gemini-1.5),Gemini-1.5,"Temperature: 1.0049675298445173, Max Tokens: 250"
AI-generated text is widely used in chatbots and automation. (Generated by Claude-3),Claude-3,"Temperature: 0.8097994834058874, Max Tokens: 354"
Recent advancements in AI have enabled more human-like responses. (Generated by Claude-3),Claude-3,"Temperature: 0.8632275402688697, Max Tokens: 444"
"Neural networks continue to evolve, enhancing AI capabilities. (Generated by PaLM-2)",PaLM-2,"Temperature: 1.016734996768328, Max Tokens: 57"
Evaluating AI-generated text helps in detecting misinformation. (Generated by Claude-3),Claude-3,"Temperature: 1.1115064794035605, Max Tokens: 475"
Future AI developments will improve text generation accuracy. (Generated by Claude-3),Claude-3,"Temperature: 0.7953899583122593, Max Tokens: 271"
"Neural networks continue to evolve, enhancing AI capabilities. (Generated by Gemini-1.5)",Gemini-1.5,"Temperature: 0.7924394218935191, Max Tokens: 357"
Recent advancements in AI have enabled more human-like responses. (Generated by Gemini-1.5),Gemini-1.5,"Temperature: 0.9904231040319408, Max Tokens: 53"
"Neural networks continue to evolve, enhancing AI capabilities. (Generated by PaLM-2)",PaLM-2,"Temperature: 0.6912229879584306, Max Tokens: 484"
Future AI developments will improve text generation accuracy. (Generated by LLaMA-3),LLaMA-3,"Temperature: 1.190563103780105, Max Tokens: 429"
